,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time
223,-145,1036,14337,-296,-69,233,-204,3226,-1733,-1984,2022-10-15 13:29:42.885932
224,-145,1711,16959,-1157,-445,204,-288,3183,-1690,-2129,2022-10-15 13:29:43.065361
225,-142,603,15964,-35,-81,29,-72,3184,-1706,-2101,2022-10-15 13:29:43.246488
226,-143,1737,16305,-363,-177,173,-152,3150,-1714,-2103,2022-10-15 13:29:43.427287
227,-141,671,16376,-540,-185,29,-127,3161,-1709,-2099,2022-10-15 13:29:43.610130
228,-141,1136,16023,-29,-179,106,-124,3160,-1687,-2094,2022-10-15 13:29:43.790796
229,-138,1417,15830,270,-220,100,-152,3121,-1670,-2117,2022-10-15 13:29:43.972268
230,-144,1595,16228,-152,-1,-133,-58,3167,-1715,-2188,2022-10-15 13:29:44.152302
231,-141,2386,15846,179,34,-1337,-196,3141,-1746,-2104,2022-10-15 13:29:44.335938
232,-143,1976,16177,275,-496,-3555,-75,3241,-1796,-2238,2022-10-15 13:29:44.515296
233,-142,1535,16049,-54,-288,-4127,-19,3287,-1805,-2381,2022-10-15 13:29:44.694310
234,-142,1338,16028,454,-294,-3392,-130,3214,-1776,-2526,2022-10-15 13:29:44.873506
235,-142,147,15465,132,-133,-2889,7,3080,-1791,-2726,2022-10-15 13:29:45.052791
236,-142,1311,16156,-447,-384,-2666,-87,2969,-1839,-2776,2022-10-15 13:29:45.231303
237,-143,1234,15367,108,-62,-2519,-78,2885,-1814,-2826,2022-10-15 13:29:45.410598
238,-143,507,16779,-939,-257,-1909,-220,2710,-1737,-2901,2022-10-15 13:29:45.593745
239,-141,-41,16155,-287,-288,-1479,-12,2611,-1732,-2933,2022-10-15 13:29:45.772853
240,-141,597,15812,-108,-171,-933,-77,2533,-1748,-2980,2022-10-15 13:29:45.952107
241,-140,1389,16408,-279,-149,647,-156,2538,-1728,-2933,2022-10-15 13:29:46.131315
242,-142,1194,15848,127,64,29,-122,2563,-1739,-2988,2022-10-15 13:29:46.311036
243,-143,746,15998,-39,-148,324,-138,2509,-1713,-3035,2022-10-15 13:29:46.491115
244,-143,1247,15970,-138,-66,124,-145,2526,-1753,-2989,2022-10-15 13:29:46.669271
245,-142,-124,16486,-523,-68,899,-181,2533,-1730,-3032,2022-10-15 13:29:46.848190
246,-141,-512,15985,184,-1,2618,-29,2647,-1753,-2996,2022-10-15 13:29:47.029468
247,-143,1016,16060,563,-15,4048,-108,2877,-1754,-2893,2022-10-15 13:29:47.208649
248,-142,1238,16226,813,-7,3753,-151,2951,-1713,-2818,2022-10-15 13:29:47.392941
249,-143,438,15759,464,4,3614,-97,3074,-1727,-2687,2022-10-15 13:29:47.573616
250,-143,838,16302,472,72,3745,-60,3177,-1698,-2556,2022-10-15 13:29:47.756128
251,-141,1613,16580,712,124,4113,-114,3222,-1681,-2379,2022-10-15 13:29:47.936200
252,-143,994,15843,1021,153,4134,-136,3181,-1698,-2267,2022-10-15 13:29:48.117112
253,-144,-362,16711,761,140,4934,-175,3082,-1656,-2118,2022-10-15 13:29:48.296933
254,-140,2911,15969,324,-118,3777,-89,2995,-1628,-2008,2022-10-15 13:29:48.477863
255,-143,55,15530,1001,266,3535,-52,2953,-1610,-1904,2022-10-15 13:29:48.659564
256,-141,879,16284,493,217,4271,-55,2819,-1576,-1815,2022-10-15 13:29:48.840739
257,-141,671,15802,256,138,3759,72,2781,-1579,-1806,2022-10-15 13:29:49.023559
258,-144,1090,16286,1150,186,4155,-153,2648,-1524,-1703,2022-10-15 13:29:49.202052
259,-142,1587,15874,780,-36,3575,-155,2492,-1518,-1597,2022-10-15 13:29:49.380835
260,-141,1547,15703,924,137,3370,7,2287,-1459,-1432,2022-10-15 13:29:49.563888
261,-144,1639,15252,1289,168,3691,-68,1231,-596,-1393,2022-10-15 13:29:49.741610
262,-141,549,16133,981,51,4085,-360,771,-383,-1397,2022-10-15 13:29:49.919792
263,-142,274,15971,706,181,4342,-182,467,-452,-1495,2022-10-15 13:29:50.099539
264,-142,1296,15269,1035,239,4511,-244,-33,-263,-1601,2022-10-15 13:29:50.278406
265,-142,697,15765,1190,92,4709,-353,-353,-175,-1857,2022-10-15 13:29:50.456383
266,-139,1453,16144,493,75,4332,-206,-701,180,-2138,2022-10-15 13:29:50.635425
267,-142,610,15607,880,-39,3409,-277,-1046,539,-2386,2022-10-15 13:29:50.813386
